Target;TargetType;TargetMethod;Job;JobMode;JobPlatform;JobJit;JobFramework;JobRuntime;Params;MeasurementLaunchIndex;MeasurementIterationMode;MeasurementIterationIndex;MeasurementNanoseconds;MeasurementOperations;MeasurementValue
Md5VsSha256.Sha256;Md5VsSha256;Sha256;Core;Throughput;Host;Host;Host;Core;;1;IdleWarmup;3;17032;8192;2.08
Md5VsSha256.Sha256;Md5VsSha256;Sha256;Core;Throughput;Host;Host;Host;Core;;1;IdleWarmup;4;17038;8192;2.08
Md5VsSha256.Sha256;Md5VsSha256;Sha256;Core;Throughput;Host;Host;Host;Core;;1;IdleWarmup;5;17035;8192;2.08
Md5VsSha256.Sha256;Md5VsSha256;Sha256;Core;Throughput;Host;Host;Host;Core;;1;IdleWarmup;6;17041;8192;2.08
Md5VsSha256.Sha256;Md5VsSha256;Sha256;Core;Throughput;Host;Host;Host;Core;;1;IdleTarget;1;17040;8192;2.08
Md5VsSha256.Sha256;Md5VsSha256;Sha256;Core;Throughput;Host;Host;Host;Core;;1;IdleTarget;2;17028;8192;2.08
Md5VsSha256.Sha256;Md5VsSha256;Sha256;Core;Throughput;Host;Host;Host;Core;;1;IdleTarget;3;17515;8192;2.14
Md5VsSha256.Sha256;Md5VsSha256;Sha256;Core;Throughput;Host;Host;Host;Core;;1;IdleTarget;4;19923;8192;2.43
Md5VsSha256.Sha256;Md5VsSha256;Sha256;Core;Throughput;Host;Host;Host;Core;;1;IdleTarget;5;19273;8192;2.35
Md5VsSha256.Sha256;Md5VsSha256;Sha256;Core;Throughput;Host;Host;Host;Core;;1;IdleTarget;6;19286;8192;2.35
Md5VsSha256.Sha256;Md5VsSha256;Sha256;Core;Throughput;Host;Host;Host;Core;;1;IdleTarget;7;19318;8192;2.36
Md5VsSha256.Sha256;Md5VsSha256;Sha256;Core;Throughput;Host;Host;Host;Core;;1;IdleTarget;8;28248;8192;3.45
Md5VsSha256.Sha256;Md5VsSha256;Sha256;Core;Throughput;Host;Host;Host;Core;;1;IdleTarget;9;19305;8192;2.36
Md5VsSha256.Sha256;Md5VsSha256;Sha256;Core;Throughput;Host;Host;Host;Core;;1;IdleTarget;10;18098;8192;2.21
Md5VsSha256.Sha256;Md5VsSha256;Sha256;Core;Throughput;Host;Host;Host;Core;;1;MainWarmup;1;206951399;8192;25262.62
Md5VsSha256.Sha256;Md5VsSha256;Sha256;Core;Throughput;Host;Host;Host;Core;;1;MainWarmup;2;207861248;8192;25373.69
Md5VsSha256.Sha256;Md5VsSha256;Sha256;Core;Throughput;Host;Host;Host;Core;;1;MainWarmup;3;200682824;8192;24497.42
Md5VsSha256.Sha256;Md5VsSha256;Sha256;Core;Throughput;Host;Host;Host;Core;;1;MainWarmup;4;196271130;8192;23958.88
Md5VsSha256.Sha256;Md5VsSha256;Sha256;Core;Throughput;Host;Host;Host;Core;;1;MainWarmup;5;203220813;8192;24807.23
Md5VsSha256.Sha256;Md5VsSha256;Sha256;Core;Throughput;Host;Host;Host;Core;;1;MainWarmup;6;205606154;8192;25098.41
Md5VsSha256.Sha256;Md5VsSha256;Sha256;Core;Throughput;Host;Host;Host;Core;;1;MainTarget;1;195257426;8192;23835.14
Md5VsSha256.Sha256;Md5VsSha256;Sha256;Core;Throughput;Host;Host;Host;Core;;1;MainTarget;2;202113313;8192;24672.04
Md5VsSha256.Sha256;Md5VsSha256;Sha256;Core;Throughput;Host;Host;Host;Core;;1;MainTarget;3;198436046;8192;24223.15
Md5VsSha256.Sha256;Md5VsSha256;Sha256;Core;Throughput;Host;Host;Host;Core;;1;MainTarget;4;199893594;8192;24401.07
Md5VsSha256.Sha256;Md5VsSha256;Sha256;Core;Throughput;Host;Host;Host;Core;;1;MainTarget;5;196529645;8192;23990.44
Md5VsSha256.Sha256;Md5VsSha256;Sha256;Core;Throughput;Host;Host;Host;Core;;1;MainTarget;6;197193626;8192;24071.49
Md5VsSha256.Sha256;Md5VsSha256;Sha256;Core;Throughput;Host;Host;Host;Core;;1;MainTarget;7;199555187;8192;24359.76
Md5VsSha256.Sha256;Md5VsSha256;Sha256;Core;Throughput;Host;Host;Host;Core;;1;MainTarget;8;204196928;8192;24926.38
